gapdh,,,,,,,,,hprt,,,,,,,,,geomean
name,foldchange,foldchange upper bound,foldchange lower bound,p-value,KO #,WT #,,,,name,foldchange,foldchange upper bound,foldchange lower bound,p-value,KO #,WT #,,,,name,foldchange,foldchange upper bound,foldchange lower bound,p-value,KO #,WT #
Arrdc3,-1.42652002587,-2.68107434968,-0.75900893403,0.224621404434,10,11,,,,Arrdc3,-1.15734435144,-1.84250202773,-0.726971220465,0.490094744657,10,11,,,,Arrdc3,-1.05894531857,0.196206953002,,0.818044552595,10,11
Chrnb4,-1.27846758703,-1.97714578871,-0.826686317427,0.190100331849,7,11,,,,Chrnb4,-1.28873209259,-1.98572764344,-0.836383787053,0.172674581898,7,12,,,,Chrnb4,-1.33389276745,0.208823513053,,0.105102673861,7,11
Clstn3,1.17373857187,0.789108353745,1.74584672504,0.364684252384,9,11,,,,Clstn3,1.19287629966,0.991707060342,1.43485301577,0.044131637264,9,11,,,,Clstn3,1.16003459774,0.0974205057642,,0.15472481898,8,10
Col18a1,1.58145225426,0.896407781296,2.79001508541,0.078642338832,9,12,,,,Col18a1,1.25064008751,0.801542693164,1.95136284297,0.270782220279,10,12,,,,Col18a1,1.19408065475,0.171801205837,,0.257154417065,7,12
Col5a3,2.88440295932,1.21522535701,6.84628606846,0.0161899666954,10,11,,,,Col5a3,1.9312640846,0.969126589231,3.84860038502,0.041012549867,8,11,,,,Col5a3,2.66622220222,0.727029532553,,0.0119659559704,10,11
Ezr,-1.20627225171,-2.07206818542,-0.702241729058,0.436484163095,9,12,,,,Ezr,-1.09501221981,-2.01971014362,-0.593675169338,0.744695814761,11,12,,,,Ezr,-1.14798266643,0.206051116989,,0.566363112323,10,12
Fabp7,-1.54079426926,-3.92911923968,-0.604218613728,0.315861168712,11,12,,,,Fabp7,-2.14776080985,-4.65483059695,-0.99098697584,0.0371754483112,10,12,,,,Fabp7,-1.61343411013,0.507153146311,,0.24589789913,11,12
H3f3b,1.13478913474,0.840957005655,1.53128682164,0.345855353714,9,11,,,,H3f3b,1.37246820457,0.951748999938,1.97916569672,0.070493203618,11,10,,,,H3f3b,1.06746464352,0.112239795576,,0.655092370841,10,11
Igf2,-1.24652918985,-3.26514828692,-0.475884978138,0.615774157078,11,12,,,,Igf2,-1.14843297998,-2.43967683819,-0.540603693432,0.682627384817,10,12,,,,Igf2,-1.30529607638,0.410816882685,,0.513610572986,11,12
Klhl33,-2.53390710717,-3.6959234614,-1.73723435964,2.70493334002e-05,11,11,,,,Klhl33,-2.27291771251,-3.64218396571,-1.41842229181,0.00128637368369,11,11,,,,Klhl33,-2.29471737906,0.318809398721,,0.000429143331164,11,12
Ktn1,-1.49685224383,-3.50352700504,-0.639517445318,0.304088072198,11,12,,,,Ktn1,-1.52641950863,-2.98198903479,-0.781343086491,0.171740483542,11,9,,,,Ktn1,-1.56742046373,0.425551487062,,0.223059457583,11,12
Mtap1a,-1.27737473245,-4.44663733846,-0.366948343863,0.66718149134,11,11,,,,Mtap1a,-1.47892147663,-4.08042578746,-0.536024632714,0.403795767515,11,11,,,,Mtap1a,-1.35270797397,0.597240583462,,0.562833320444,11,11
Peli2,1.28552806893,0.701679071748,2.3551827075,0.35469718363,9,12,,,,Peli2,-1.0109184821,-1.61138489169,-0.634209854343,0.958566626402,10,12,,,,Peli2,1.17037421157,0.2146589919,,0.496819773225,9,12
Plcxd2,1.51936892751,0.873319171519,2.64334279285,0.107481486532,9,12,,,,Plcxd2,1.04338581669,0.835156143117,1.30353344274,0.671147838207,10,11,,,,Plcxd2,1.23025666695,0.127975417461,,0.191028778541,11,11
Prune2,-1.11073537957,-1.53011347816,-0.806301690068,0.459839032329,9,11,,,,Prune2,-1.22901285004,-1.58579282324,-0.952503103451,0.0759397504031,8,12,,,,Prune2,-1.03100947276,0.116123949198,,0.833842490938,9,12
Sgcg,-81.8550772018,-456.724005172,-14.6702463366,0.000126629869624,11,11,,,,Sgcg,-71.1468152058,-459.211408936,-11.0229607005,0.000308451877728,11,12,,,,Sgcg,-81.2443398741,75.8325054212,,0.00016932438174,11,11
Slc24a2,1.02317686965,0.531535868198,1.96955834822,0.936555265189,9,12,,,,Slc24a2,-1.50642719773,-2.35197202038,-0.964859650708,0.0439055724268,7,12,,,,Slc24a2,-1.18729857662,0.250408927102,,0.477705685807,8,12
Slc25a37,1.11210688644,0.547613089163,2.25849555343,0.741617424069,11,12,,,,Slc25a37,-1.0115663204,-1.95496030116,-0.523420562532,0.969369026449,11,12,,,,Slc25a37,-1.0822377911,0.226851760656,,0.773952597476,10,12
Slc39a14,1.29541707596,0.600799645984,2.79311982271,0.455194478202,10,12,,,,Slc39a14,1.10585839971,0.646501123873,1.89160197107,0.677517403626,10,12,,,,Slc39a14,1.19720842535,0.277258246577,,0.550616933964,10,12
